Row ID,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Order ID,Order Date,Ship Date,Ship Mode
9798,TEC-PH-10004977,Technology,Phones,GE 30524EE4,235.188,2,0.4,-43.1178,CS-12490,Cindy Schnelling,Corporate,United States,Toledo,Ohio,43615,East,CA-2015-128608,2015-01-12,2015-01-17,Standard Class
5065,TEC-PH-10004977,Technology,Phones,GE 30524EE4,391.98,2,0.0,113.6742,CA-12265,Christina Anderson,Consumer,United States,Wilmington,Delaware,19805,East,CA-2017-122196,2017-09-22,2017-09-24,First Class
7502,TEC-PH-10004977,Technology,Phones,GE 30524EE4,470.376,3,0.2,52.9173,TC-21295,Toby Carlisle,Consumer,United States,Westminster,California,92683,West,CA-2017-121048,2017-07-14,2017-07-18,Standard Class
9728,TEC-PH-10004977,Technology,Phones,GE 30524EE4,979.95,5,0.0,284.1855,KM-16720,Kunst Miller,Consumer,United States,Lowell,Massachusetts,1852,East,CA-2017-167395,2017-12-02,2017-12-04,First Class
582,TEC-PH-10004977,Technology,Phones,GE 30524EE4,470.376,3,0.2,52.9173,DV-13465,Dianna Vittorini,Consumer,United States,Denver,Colorado,80219,West,CA-2017-145233,2017-12-01,2017-12-05,Standard Class
7478,TEC-PH-10004977,Technology,Phones,GE 30524EE4,391.98,2,0.0,113.6742,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,CA-2014-167199,2014-01-06,2014-01-10,Standard Class
36,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,CA-2016-117590,2016-12-08,2016-12-10,First Class
3132,TEC-PH-10004977,Technology,Phones,GE 30524EE4,627.168,4,0.2,70.5564,CC-12100,Chad Cunningham,Home Office,United States,Los Angeles,California,90049,West,CA-2014-136399,2014-12-16,2014-12-17,First Class
6636,TEC-PH-10004977,Technology,Phones,GE 30524EE4,627.168,4,0.2,70.5564,MB-18085,Mick Brown,Consumer,United States,Charlotte,North Carolina,28205,South,CA-2017-144498,2017-06-05,2017-06-05,Same Day
3331,TEC-PH-10004959,Technology,Phones,Classic Ivory Antique Telephone ZL1810,241.176,3,0.2,15.0735,KD-16270,Karen Daniels,Consumer,United States,Houston,Texas,77095,Central,CA-2014-165309,2014-11-11,2014-11-15,Standard Class
1860,TEC-PH-10004959,Technology,Phones,Classic Ivory Antique Telephone ZL1810,100.49,1,0.0,25.1225,JB-15400,Jennifer Braxton,Corporate,United States,Bristol,Connecticut,6010,East,CA-2015-121608,2015-09-03,2015-09-05,First Class
7781,TEC-PH-10004924,Technology,Phones,"SKILCRAFT Telephone Shoulder Rest, 2"" x 6.5"" x 2.5"", Black",29.56,4,0.0,7.9812,RF-19840,Roy Französisch,Consumer,United States,Chesapeake,Virginia,23320,South,CA-2016-139381,2016-04-18,2016-04-22,Standard Class
4254,TEC-PH-10004924,Technology,Phones,"SKILCRAFT Telephone Shoulder Rest, 2"" x 6.5"" x 2.5"", Black",11.824,2,0.2,1.0346,RA-19285,Ralph Arnett,Consumer,United States,Lakeland,Florida,33801,South,CA-2015-155068,2015-10-23,2015-10-23,Same Day
